,type,model,window,size,count,acc,loss,val_acc,val_loss
0,WORD,word2vec,2.0,50.0,10.0,0.3287548188268309,0.9315768520117191,0.5978484283678774,0.3636581043133623
1,WORD,word2vec,2.0,50.0,20.0,0.5859951658712699,0.6220615990816731,0.5983774801343481,0.5564208016347109
2,WORD,word2vec,2.0,50.0,50.0,0.3377120940785259,0.879423279700465,0.5911630630568495,0.4679296325826616
3,WORD,word2vec,2.0,50.0,100.0,0.33916313452837266,0.8976842736044008,0.5571253768066057,0.4508332297684283
4,WORD,word2vec,2.0,100.0,10.0,0.326994124872113,0.9307948577518261,0.6090150752953223,0.36547328897993225
5,WORD,word2vec,2.0,100.0,20.0,0.5862736196869807,0.6165017421890133,0.6043068578339169,0.5517642945954666
6,WORD,word2vec,2.0,100.0,50.0,0.3401580199253452,0.8788288218932196,0.5891436830286932,0.4800657516107029
7,WORD,word2vec,2.0,100.0,100.0,0.34332799879891224,0.9096490633173981,0.5665279146564416,0.45463879252104716
8,WORD,word2vec,2.0,300.0,10.0,0.3552351245165303,0.9637729030946326,0.6257575743220984,0.39162087150546343
9,WORD,word2vec,2.0,300.0,20.0,0.601526291266721,0.6293988087611876,0.6286765930387621,0.573649288885528
10,WORD,word2vec,2.0,300.0,50.0,0.36952519309159804,0.9075161978615888,0.6166648451039107,0.5007438483641797
11,WORD,word2vec,2.0,300.0,100.0,0.3746762182615428,0.9233636956015903,0.5901064952040332,0.4833838095379832
12,WORD,word2vec,2.0,500.0,10.0,0.5816149708507752,0.6056297524593816,0.5984475098388404,0.5441218528177294
13,WORD,word2vec,2.0,500.0,50.0,0.6029367495394599,0.6077167306489605,0.5800846720670451,0.623013369456411
14,WORD,word2vec,2.0,500.0,100.0,0.5302868569799731,0.5730162287327755,0.5528421481022167,0.498518696707745
15,WORD,word2vec,2.0,1000.0,10.0,0.32967308168706394,0.9316835299700724,0.6161664312668977,0.3649138019415058
16,WORD,word2vec,2.0,1000.0,20.0,0.5823469606720849,0.6166540484690106,0.6060535345788091,0.5592757748467915
17,WORD,word2vec,2.0,1000.0,50.0,0.3474644420518645,0.8797697951144356,0.5952551748765011,0.4742059817358453
18,WORD,word2vec,2.0,1000.0,100.0,0.34970125590320156,0.9106346551863994,0.5640443245473885,0.4640250901480427
19,WORD,word2vec,5.0,50.0,10.0,0.563912740073684,0.6435082496764987,0.5839900892087518,0.5045897210727195
20,WORD,word2vec,5.0,50.0,50.0,0.5928818453831669,0.5968181673979954,0.5740431410867662,0.6126416416149668
21,WORD,word2vec,5.0,50.0,100.0,0.5764459777566264,0.626017257179457,0.5526745868280641,0.6018280180299317
22,WORD,word2vec,5.0,100.0,10.0,0.5760932360370559,0.6565304729821132,0.5922523390748183,0.5207570021644546
23,WORD,word2vec,5.0,100.0,50.0,0.5993657647589357,0.603924355317811,0.5802559931380837,0.6317826747580075
24,WORD,word2vec,5.0,100.0,100.0,0.5834451101690791,0.6237580259231835,0.553936960697959,0.6045677944076885
25,WORD,word2vec,5.0,300.0,10.0,0.5892601028874691,0.6645935641116466,0.6158692187500693,0.5253310113684444
26,WORD,word2vec,5.0,300.0,50.0,0.6141953590917754,0.6120933199339256,0.5983095583549279,0.6438939607952445
27,WORD,word2vec,5.0,300.0,100.0,0.5874222028841911,0.6460270821902063,0.5620345347820255,0.6168707642379266
28,WORD,word2vec,5.0,1000.0,10.0,0.5715439909998314,0.6544418257858627,0.5970173717645406,0.5177777652644289
