,type,model,window,size,count,acc,loss,val_acc,val_loss
64,MORPHEME,word2vec,5,500,50,0.808850164,0.844588981,0.819237488,0.702754617
65,MORPHEME,word2vec,10,1000,20,0.986303333,0.366269335,0.81886,1.073014943
66,MORPHEME,fastText,7,1000,20,0.964353333,0.382754884,0.81871,0.65396302
67,MORPHEME,word2vec,7,100,50,0.953213846,0.344991756,0.818555998,0.762160114
68,MORPHEME,glove,10,500,10,0.709045817,0.767488614,0.818053517,0.779282316
69,MORPHEME,fastText,7,500,10,0.695087681,1.252762559,0.817877609,1.033933384
70,MORPHEME,word2vec,10,100,20,0.847335592,0.822659296,0.817813938,1.280626913
71,MORPHEME,word2vec,7,300,100,0.95220031,0.334888561,0.816951047,0.75987352
72,MORPHEME,word2vec,10,300,20,0.836206026,0.820930553,0.816161015,1.278626331
73,MORPHEME,word2vec,5,500,100,0.813711126,0.839542689,0.815362399,0.688198148
74,MORPHEME,word2vec,5,100,50,0.806015549,0.840480377,0.815149605,0.70960563
75,MORPHEME,word2vec,5,1000,100,0.814255196,0.84916347,0.814451972,0.683192566
76,MORPHEME,word2vec,7,1000,100,0.959643333,0.3775952,0.8143,0.63374486
77,MORPHEME,fastText,2,300,100,0.82181332,0.808329186,0.813652791,0.828516874
78,MORPHEME,word2vec,2,500,50,0.809497849,0.839341582,0.812669465,0.694756155
79,MORPHEME,word2vec,5,300,100,0.810339489,0.845843872,0.812251674,0.675265215
80,MORPHEME,word2vec,10,100,50,0.80371098,0.796849068,0.811908324,0.809020285
81,MORPHEME,fastText,7,300,100,0.821783724,0.808962991,0.811878534,0.840203177
82,MORPHEME,word2vec,7,500,100,0.9085,0.39473621,0.81136,0.584605342
83,MORPHEME,fastText,10,300,100,0.915,0.423055815,0.81084,0.67382462
84,MORPHEME,word2vec,7,1000,10,0.643265299,1.51063157,0.810723379,0.923051632
85,MORPHEME,fastText,2,500,10,0.756384994,1.273207994,0.810183537,1.092921198
86,MORPHEME,word2vec,5,1000,10,0.78909475,0.792955521,0.809899749,0.776098223
87,MORPHEME,word2vec,10,1000,50,0.803755643,0.840529039,0.809810544,0.694376742
88,MORPHEME,word2vec,7,500,50,0.976933333,0.380271206,0.80909,0.864468874
89,MORPHEME,word2vec,7,100,100,0.949298203,0.329909534,0.808457628,0.741099443
90,MORPHEME,glove,5,1000,10,0.693205822,0.746264988,0.808365999,0.767529694
91,MORPHEME,glove,5,500,10,0.841673333,0.497057029,0.80827,0.805079078
92,MORPHEME,fastText,5,1000,20,0.962496667,0.410091884,0.80801,0.61315702
93,MORPHEME,word2vec,2,500,100,0.803937995,0.842370604,0.807486994,0.675546706
94,MORPHEME,fastText,10,500,100,0.671186512,1.233601376,0.807087489,0.995352757
95,MORPHEME,word2vec,5,300,50,0.81670336,0.837489117,0.806204904,0.708417281
96,MORPHEME,word2vec,5,100,100,0.813294639,0.837643395,0.805304244,0.682485731
97,MORPHEME,glove,7,300,10,0.557788897,1.016646144,0.804527479,0.738828801
98,MORPHEME,fastText,5,300,100,0.835142751,0.840576658,0.803118371,0.947436656
99,MORPHEME,word2vec,7,500,10,0.797182803,0.797414984,0.803056351,0.832406802
100,MORPHEME,word2vec,10,1000,100,0.804331358,0.847101398,0.802768291,0.686134839
101,MORPHEME,word2vec,10,300,100,0.810785777,0.79232269,0.801952459,0.806218712
102,MORPHEME,word2vec,7,300,50,0.952758373,0.33923006,0.800862934,0.75609246
